"","WT.Mock.1","WT.Mock.2","WT.Mock.3","WT.IAV.1","WT.IAV.2","WT.IAV.3","KO.Mock.1","KO.Mock.2","KO.Mock.3","KO.IAV.1","KO.IAV.2","KO.IAV.3"
"TC01002708.hg.1",6.89114366522621,6.77976564300926,6.74467828113741,7.34415394786464,7.36015093192795,7.41959079258724,6.4230615572325,6.41103895088707,6.37141629009631,6.61884549939137,6.58594918400636,6.67792185613106
"TC19000228.hg.1",7.63175490597087,7.49022426214469,7.75341611430257,8.29867819589357,8.5414149046299,8.58216446798535,7.80554403521808,7.58257681642543,7.82291863160367,8.29232366043034,8.4122485203328,8.12121464932223
"TC17002907.hg.1",10.0344222256367,9.88651751175863,9.99953974644851,9.50471386757763,9.58590308553049,9.59873264128857,10.555596479984,10.4894626932651,10.6440955609364,10.396873681854,10.4372422712643,10.2764776859649
"TC22000519.hg.1",7.06414606962211,6.91491689121591,7.02732286090586,9.21228138453919,9.31316434971466,9.62245583487143,7.08440934616043,6.94962089731438,7.10826943099414,9.82753577017007,9.88889985779286,9.69401152287979
"TC04002952.hg.1",8.24790420130057,8.23521136832708,8.30645463958179,8.54541646963573,8.51583648538513,8.77500396475212,8.4785233531883,8.3995722289295,8.66155056114755,9.18875138196361,9.27245322112089,9.13399919871318
"TC12000071.hg.1",5.96489484612319,5.87374047936106,5.82092502679823,6.2775952118483,5.92515236017788,5.69204590956319,5.68171274539513,5.89618853953195,5.49684712188339,5.60665986619801,5.54860733048542,5.83950658134688
"TC19001002.hg.1",6.54466188669055,6.59635246846978,6.37264214619412,6.57609180563049,6.34892277036761,6.29900909110024,6.23501620692527,6.58494098179578,6.19897323516887,6.13258998743386,6.25268714014372,6.34650241188393
"TC19001707.hg.1",6.58645566704105,6.74662486362404,6.57769352291576,6.79284710188599,6.8256892995238,6.57589188756173,6.64294434881064,6.72729390568684,6.27864333386765,6.43937746796324,6.32802717484111,6.72361396348174
"TC10000828.hg.1",8.74278976798505,8.80908215124173,8.79968117521166,8.3104757724487,8.16909525395006,8.50020671714882,8.88150476524856,8.85356631625388,9.14996592564868,8.72235919502043,8.71927440590678,8.63564615048484
"TC11001422.hg.1",6.76996043974205,6.73651426977768,6.6909032433827,6.8127146442298,6.71230153488114,6.65531686104896,6.40871166974807,6.58594022712012,6.36081914687357,6.34110055985736,6.39086625631975,6.38110370252041
"TC11002656.hg.1",7.57103950199986,7.40076493184185,7.50864860892881,7.71850037083739,7.61820896304324,7.36866739947301,7.38415994739629,7.29023349122343,7.17994865835028,7.18587076016512,7.19161272865898,7.31674429813028
"TC11000482.hg.1",7.70688271832165,7.67904646321606,7.8048227860602,7.73243747416781,7.7566927981584,8.17874339140803,8.08971683632354,8.02084440716047,8.26032762721177,8.31082846941388,8.31596987901309,8.15130077032482
"TC11000565.hg.1",10.3261415470082,10.1612304058822,10.2440709222756,10.2498103322496,10.2382359295014,10.3766879358598,10.4241232296966,10.4704897502224,10.5185008510218,10.6925505114404,10.7382318371989,10.6609553979965
"TC11002738.hg.1",7.33361237077768,7.28331666960468,7.32315676553725,7.33048751990871,7.38436835894345,7.1832707556848,7.20466831389683,7.34502884613574,6.81520447512252,7.00499536718514,6.94468597001623,7.23489158789194
"TC12003235.hg.1",6.50323559797301,6.39846016763164,6.47187973038654,6.5759291980947,6.6435944769628,6.56983404939709,7.02929315615518,7.06370610426746,7.18108157204174,7.39102128668745,7.27587594295782,7.22135665752474
"TC17001806.hg.1",7.60213327250378,7.63255268150634,7.65265418327647,7.42841696878645,7.44084718304402,7.61024944154134,7.96622182509446,7.97052221368123,8.21553303764376,8.05105091833263,8.03544843746522,7.86238966212498
"TC19001145.hg.1",5.67586443499371,5.57381160954725,5.82565605724928,5.4842963790436,5.60622017912037,5.78072037038561,5.96519080998048,5.93598253782349,6.07651583217855,6.28868477126051,6.07709992907559,5.88875540792766
"TC19001182.hg.1",8.47734661968511,8.42321014364649,8.45397904081491,8.4144897892481,8.27377381340006,8.23698092266333,9.08838980874637,9.18574066824783,9.13892661095997,9.12261241364294,9.16202045208708,9.09386608487493
"TC01006289.hg.1",8.64009879934837,8.59908440521597,8.65549960746643,8.045818407739,7.97756803201464,8.21366106536103,8.67943067443659,8.62307669544415,8.88581633964978,8.53601115361658,8.54940957684747,8.43998679160716
"TC01001829.hg.1",7.06918463852659,7.13567247473632,7.2006056949506,7.02631015501303,6.97787561583284,7.37915541464924,7.51692358973591,7.38452975472932,7.83922029866058,7.76737882402474,7.77609601351417,7.61241743610927
"TC01005074.hg.1",6.27227689063878,5.99483121797949,6.07630379201147,6.03461867432231,6.05947213348581,5.51725428379751,5.88660973352991,6.00235405029959,5.59879847633067,5.77822658103919,5.64897871867623,6.13395401466794
"TC02004173.hg.1",6.62018209566406,6.60381229842021,6.48340521649054,6.79106544434435,6.59912441096312,6.39380463489469,6.50910147978656,6.61955726485296,6.21185250163873,6.32211177419415,6.25957093042377,6.46855745271656
"TC02002424.hg.1",6.3672005458984,6.36802093192493,6.40342170262471,6.71845248528297,6.60240549813089,6.85618922109229,6.14948372964397,6.07099728017829,6.23711940608464,7.20691645688891,7.2512773294805,6.98314973962189
"TC02002558.hg.1",4.83931461801358,4.60295194293496,4.56205417398165,4.70872859770273,4.72936898276175,4.53845650830748,4.47076675795424,4.48870530214876,4.32758203415593,4.32953050445161,4.2404227176357,4.42113738194771
"TC03002796.hg.1",6.62231175923267,6.59604480271399,6.44972972187122,6.74251954212979,6.69228297392079,6.45368520038514,6.48384958723109,6.7028555944392,6.16336845311919,6.14081172705366,6.3040251331671,6.51403585064924
"TC02000067.hg.1",7.2403840732816,7.20420353886575,7.22671268051966,7.16322510610915,7.18520992830295,7.22141734208046,7.36281784560266,7.16225565118204,7.23855834728601,6.95453889492138,6.93803210626495,6.90719449834639
"TC01003791.hg.1",5.58336768079628,5.5483964150214,5.44729327701214,5.53821684645898,5.67315550640935,5.3034062336004,5.35348491070079,5.45276379312435,5.15075356464909,5.21247724488014,5.23411680141014,5.33262739785803
"TC07001684.hg.1",6.48127174495581,6.64700925362048,6.50780239637117,6.60465149779355,6.62674713206616,6.31033249337452,6.45238236722437,6.60913607740009,6.22585446781354,6.32898982864833,6.27058149061009,6.5263598208298
"TC17000813.hg.1",6.28814668604399,6.18468542205327,6.23481531220953,6.63235511605825,6.39636335801728,6.79079669955924,7.0936641043612,7.09134993974377,7.25960392191889,7.93102895260763,8.0241907917642,7.81015143451645
"TC22000790.hg.1",7.18866401289337,7.23221717450049,7.17263960651642,7.24662846802384,7.29350703493125,7.08029368799021,7.00983061012063,7.15435072950184,6.86122505911026,6.84747264712783,6.82478762313555,7.10189302651385
"TC01003396.hg.1",5.50251437303408,5.5242090062451,5.51400526152561,5.51582055085493,5.64707368771485,5.24322496873771,5.32618431870783,5.50978242458704,5.25112882253201,5.23433033973286,5.20634873555965,5.40015737226352
