"","WT.Mock.1","WT.Mock.2","WT.Mock.3","WT.IAV.1","WT.IAV.2","WT.IAV.3","KO.Mock.1","KO.Mock.2","KO.Mock.3","KO.IAV.1","KO.IAV.2","KO.IAV.3"
"CD274",4.9975215709139,4.82525557857503,4.88845070359826,6.64725381368373,6.68910173327913,6.9849976437912,4.76251706624187,4.84814886421027,4.65183011547073,7.55617941075995,7.57088529265191,7.24780844741414
"GUCY1A2",3.8998245621501,4.06318484680505,4.16991168700086,3.99739213976904,3.73575838135002,3.72440510401042,6.37517691284891,6.22528036018335,7.27673107829858,6.06958685354799,5.98994395199617,5.35658414210889
"HAS2",5.93508534199571,5.78620928886739,5.99660458654803,5.66316138657988,5.67591481963889,5.80873768293309,7.21343263249254,7.16966808914972,7.57640833041253,7.60372589706887,7.58370205057963,7.38455420734035
"CFH",4.15878165116579,4.11583570237531,4.11972217880403,4.93136859518316,5.04893510596535,5.22588830141349,7.89286167185441,7.59579602576398,8.13284937482823,9.56426883576633,9.44092284861484,9.42064783863065
"HGF",4.31092075436088,4.23024116551023,4.11882886399375,4.20587903142291,4.28928007106561,4.09305145457117,5.76222730437626,5.51862227322376,5.96320669972072,5.72678136826613,5.56566617123217,5.35539009238967
"NRG1",8.96463931082352,8.95539205102474,8.98088168156359,9.02442238608214,9.03196281353944,9.14360002144528,7.9206365913652,7.78747801410937,8.09398698388206,8.57931345158425,8.57696817158319,8.48993211887485
"EHD4",7.21621694910766,7.52009166476038,7.45684305890547,8.59464560657273,8.61908130289688,8.83665979934976,7.36264733336679,7.08945009398545,7.48608232255002,8.99165302501961,8.94490748053239,8.75609769007306
"HLA-A",7.98768565243811,7.94449778945425,8.01388970936213,9.44013176636474,9.53763926052716,9.65922942950204,8.07714475419985,7.98722140780106,8.22757641908491,9.2697680199987,9.30784803751088,9.23503373806888
"HLA-B",7.22670666297133,7.10208934455396,7.25044837899402,9.25444066802647,9.32467662722792,9.3511418423846,7.16055131064151,7.14008851650184,7.211823837631,8.96881344667392,8.97733163956253,8.74707167671537
"HLA-C",8.55424959140145,8.58311212594958,8.63684759395186,10.1808305496302,10.2230328869264,10.3266445821045,8.44848792339175,8.48365201377944,8.36592670943502,10.0433668743278,10.0139931747915,9.88807536854116
"HLA-E",8.35000988510174,8.23872365056735,8.26416326130886,10.2368193513922,10.2557934927061,10.3580655894458,8.18014612726618,8.26546082320376,8.40943724804019,10.3711402564379,10.3748730503306,10.2484400301499
"HLA-F",7.2645906630438,7.37143242903746,7.27114421582521,8.61089164338531,8.59531332605419,8.73584539146635,7.3287984112369,7.37392673199313,7.31247863090965,8.63698262936923,8.60096137032893,8.56185507169489
"HLA-G",8.16447730875982,8.09873057117017,8.11062878815951,9.3746437586194,9.42181409298604,9.54763491835547,8.00511811859019,8.18899610457681,8.14383693752917,9.20069960869698,9.14670176667038,9.09951463972312
"HLA-H",7.82900848454501,7.75167543375261,7.85406311914958,9.48092271231859,9.5226754285243,9.57940810061814,7.97521199987414,7.86568078147376,7.95864677559987,9.31945156732937,9.44360756864224,9.24118960052878
"HLA-J",7.21497072725687,7.24609290510123,7.26830395953638,8.19662249432982,8.28655282467332,8.40118938264455,7.29630032754188,7.35479002215627,7.04230833908023,8.03102122830829,8.11469436944597,8.12818812096507
"HLA-K",5.60792118695766,5.40562005096158,5.43380856106186,6.48180550605788,6.77032449274223,6.48902922062274,5.55625007514665,5.41355733599987,5.54099240390252,6.5465800807336,6.50700724579139,6.62360937474831
"HNF4G",5.28210099477034,5.13875847212802,5.26640722517338,5.71969549009421,5.68505300877366,5.62239221422326,5.90293568509795,5.73843845572536,5.88918254639541,6.9716873426291,6.96773207109517,6.79570507401979
"BIRC3",7.445210584853,7.25351671866285,7.42641745791542,8.89279082084058,8.71598130154173,9.180316138729,7.16805872858753,7.01757713090991,7.28610693508061,8.44853923130915,8.3775561213852,8.3606033429656
"HTR1D",7.8672701718159,7.89025405917685,8.10333187776953,7.16496874139261,7.04851967508403,7.45022839969505,5.83723663730917,5.66545044091671,6.10595309657323,5.46519414435294,5.23484046251143,4.76668040320438
"HCAR2",6.31691260287522,5.84420703884221,5.95350055578314,7.33681617420071,7.33247960856835,7.63880579305704,6.1515938828915,6.02097443495764,6.08006523225071,6.50813602682983,6.534377298492,6.41164218380163
"ID1",7.94014322239552,7.93438185239236,7.93075035521535,7.97792981073209,7.96773198685944,8.06400691164483,9.20081603269657,9.42773539909824,9.56641468133148,9.6548839421105,9.95664257063008,9.48950329383288
